110.25 101 
-14.6986 -26.065 14.9799 
-14.8122 -26.2303 15.3231 
-14.9264 -26.3919 15.6708 
-15.0411 -26.5495 16.0229 
-15.1561 -26.7031 16.3795 
-15.2716 -26.8525 16.7406 
-15.3874 -26.9976 17.106 
-15.5035 -27.1383 17.4758 
-15.6199 -27.2743 17.85 
-15.7364 -27.4056 18.2284 
-15.8531 -27.5319 18.611 
-15.9699 -27.6532 18.9979 
-16.0867 -27.7694 19.3888 
-16.2036 -27.8801 19.7838 
-16.3203 -27.9854 20.1828 
-16.437 -28.085 20.5858 
-16.5535 -28.1787 20.9925 
-16.6697 -28.2666 21.403 
-16.7857 -28.3483 21.8171 
-16.9013 -28.4237 22.2348 
-17.0165 -28.4927 22.6559 
-17.1313 -28.5552 23.0803 
-17.2455 -28.6109 23.5079 
-17.3592 -28.6597 23.9387 
-10 -6 0 
-9.96 -6.274 0.06 
-9.92314 -6.54601 0.122329 
-9.88937 -6.8161 0.18696 
-9.85864 -7.08433 0.253868 
-9.83089 -7.35079 0.323033 
-9.80609 -7.61553 0.394436 
-9.78419 -7.87861 0.468063 
-9.76513 -8.14011 0.543901 
-9.74888 -8.40009 0.62194 
-9.73539 -8.65859 0.702173 
-9.72462 -8.91569 0.784595 
-9.71654 -9.17143 0.869204 
-9.71108 -9.42588 0.956001 
-9.70823 -9.67908 1.04499 
-9.70794 -9.93108 1.13617 
-9.71017 -10.1819 1.22955 
-9.71489 -10.4317 1.32514 
-9.72206 -10.6804 1.42295 
-9.73164 -10.9281 1.52299 
-9.74361 -11.1749 1.62528 
-9.75792 -11.4207 1.72982 
-9.77455 -11.6656 1.83665 
-9.79346 -11.9097 1.94578 
-9.81462 -12.1529 2.05723 
-9.838 -12.3954 2.17102 
-9.86358 -12.6371 2.28718 
-9.89131 -12.8781 2.40572 
-9.92118 -13.1184 2.52669 
-9.95315 -13.358 2.6501 
-9.9872 -13.5969 2.77599 
-10.0233 -13.8352 2.90438 
-10.0614 -14.0729 3.03531 
-10.1015 -14.31 3.16881 
-10.1436 -14.5466 3.30491 
-10.1876 -14.7825 3.44365 
-10.2336 -15.0179 3.58507 
-10.2814 -15.2527 3.7292 
-10.3311 -15.487 3.87607 
-10.3827 -15.7208 4.02574 
-10.4361 -15.954 4.17823 
-10.4913 -16.1866 4.33358 
-10.5482 -16.4187 4.49184 
-10.6069 -16.6503 4.65305 
-10.6674 -16.8813 4.81725 
-10.7295 -17.1117 4.98448 
-10.7933 -17.3415 5.15479 
-10.8588 -17.5707 5.32822 
-10.9259 -17.7994 5.50481 
-10.9947 -18.0273 5.6846 
-11.065 -18.2547 5.86765 
-11.1369 -18.4813 6.05399 
-11.2103 -18.7072 6.24367 
-11.2853 -18.9324 6.43673 
-11.3618 -19.1568 6.63323 
-11.4397 -19.3805 6.83319 
-11.5191 -19.6032 7.03668 
-11.6 -19.8251 7.24373 
-11.6822 -20.046 7.45438 
-11.7659 -20.266 7.66868 
-11.8509 -20.485 7.88668 
-11.9372 -20.7028 8.10841 
-12.0249 -20.9196 8.33393 
-12.1138 -21.1351 8.56326 
-12.204 -21.3495 8.79645 
-12.2955 -21.5625 9.03354 
-12.3881 -21.7741 9.27457 
-12.482 -21.9843 9.51958 
-12.577 -22.193 9.7686 
-12.6732 -22.4001 10.0217 
-12.7704 -22.6055 10.2788 
-12.8688 -22.8092 10.5401 
-12.9682 -23.0111 10.8055 
-13.0686 -23.2111 11.0751 
-13.1701 -23.4091 11.3489 
-13.2724 -23.605 11.627 
-13.3758 -23.7987 11.9093 
-13.48 -23.9901 12.1958 
-13.5851 -24.1791 12.4867 
-13.691 -24.3657 12.7819 
-13.7978 -24.5497 13.0814 
-13.9053 -24.731 13.3852 
-14.0136 -24.9095 13.6934 
-14.1225 -25.0851 14.006 
-14.2322 -25.2576 14.3229 
-14.3424 -25.427 14.6442 
-14.4533 -25.5931 14.9698 
-14.5647 -25.7559 15.2998 
-14.6766 -25.9151 15.6341 
-14.7889 -26.0707 15.9728 
-14.9018 -26.2225 16.3157 
-15.015 -26.3704 16.663 
-15.1285 -26.5142 17.0145 
-15.2424 -26.6539 17.3702 
-15.3565 -26.7893 17.7302 
-15.4708 -26.9202 18.0943 
-15.5853 -27.0465 18.4625 
-15.6999 -27.1681 18.8348 
-15.8146 -27.2848 19.2111 
-15.9293 -27.3965 19.5914 
-16.044 -27.5031 19.9756 
-16.1586 -27.6043 20.3635 
-10 -4 5.21502e-310 
-9.94 -4.276 0.04 
-9.88336 -4.54965 0.0823968 
-9.83002 -4.82102 0.127143 
-9.77993 -5.09019 0.174194 
-9.73304 -5.35723 0.223512 
-9.68928 -5.62222 0.275058 
-9.64861 -5.88524 0.3288 
-9.61097 -6.14634 0.384707 
-9.57633 -6.4056 0.442753 
-9.54462 -6.66309 0.502915 
-9.5158 -6.91888 0.565171 
-9.48983 -7.17303 0.629502 
-9.46667 -7.42559 0.695894 
-9.44626 -7.67665 0.764334 
-9.42856 -7.92625 0.834812 
-9.41354 -8.17445 0.907318 
-9.40115 -8.42131 0.981849 
-9.39135 -8.66689 1.0584 
-9.3841 -8.91124 1.13697 
-9.37937 -9.15442 1.21756 
-9.37712 -9.39647 1.30018 
-9.37732 -9.63744 1.38483 
-9.37992 -9.87738 1.47151 
-9.38489 -10.1163 1.56023 
-9.39221 -10.3544 1.65101 
-9.40183 -10.5915 1.74386 
-9.41373 -10.8277 1.83879 
-9.42787 -11.0632 1.93581 
-9.44422 -11.2979 2.03495 
-9.46276 -11.5318 2.13623 
-9.48345 -11.765 2.23965 
-9.50626 -11.9975 2.34525 
-9.53117 -12.2294 2.45305 
-9.55816 -12.4607 2.56307 
-9.58718 -12.6913 2.67533 
-9.61822 -12.9214 2.78987 
-9.65126 -13.151 2.90672 
-9.68625 -13.38 3.02589 
-9.72319 -13.6085 3.14742 
-9.76204 -13.8366 3.27135 
-9.80279 -14.0641 3.3977 
-9.8454 -14.2913 3.5265 
-9.88986 -14.5179 3.6578 
-9.93614 -14.7441 3.79163 
-9.98422 -14.9699 3.92802 
-10.0341 -15.1953 4.06701 
-10.0857 -15.4203 4.20863 
-10.139 -15.6448 4.35293 
-10.1941 -15.8689 4.49995 
-10.2508 -16.0926 4.64972 
-10.3093 -16.3159 4.80228 
-10.3693 -16.5387 4.95768 
-10.431 -16.7611 5.11595 
-10.4943 -16.983 5.27715 
-10.5592 -17.2045 5.4413 
-10.6257 -17.4255 5.60846 
-10.6937 -17.646 5.77866 
-10.7632 -17.866 5.95195 
-10.8342 -18.0854 6.12837 
-10.9067 -18.3043 6.30797 
-10.9807 -18.5226 6.49079 
-11.0561 -18.7403 6.67687 
-11.133 -18.9573 6.86626 
-11.2112 -19.1736 7.059 
-11.2908 -19.3892 7.25513 
-11.3718 -19.604 7.45471 
-11.4541 -19.8181 7.65776 
-11.5378 -20.0312 7.86434 
-11.6227 -20.2435 8.07448 
-11.7089 -20.4549 8.28824 
-11.7964 -20.6652 8.50564 
-11.8851 -20.8745 8.72673 
-11.975 -21.0827 8.95156 
-12.066 -21.2897 9.18015 
-12.1583 -21.4955 9.41255 
-12.2516 -21.7 9.6488 
-12.3461 -21.9032 9.88893 
-12.4417 -22.1049 10.133 
-12.5383 -22.305 10.381 
-12.636 -22.5037 10.633 
-12.7347 -22.7006 10.889 
-12.8343 -22.8958 11.149 
-12.9349 -23.0892 11.4131 
-13.0365 -23.2806 11.6814 
-13.1389 -23.4701 11.9537 
-13.2422 -23.6575 12.2302 
-13.3464 -23.8426 12.5109 
-13.4514 -24.0255 12.7957 
-13.5571 -24.206 13.0848 
-13.6636 -24.384 13.378 
-13.7708 -24.5594 13.6755 
-13.8787 -24.7321 13.9773 
-13.9872 -24.902 14.2832 
-14.0964 -25.0689 14.5935 
-14.2061 -25.2329 14.9079 
-14.3164 -25.3936 15.2266 
-14.4271 -25.5511 15.5496 
-14.5384 -25.7052 15.8767 
-14.65 -25.8557 16.2081 
-14.7621 -26.0026 16.5437 
-14.8745 -26.1457 16.8834 
-10 -2 0 
-9.92 -2.278 0.02 
-9.84358 -2.55328 0.0425444 
-9.77068 -2.82593 0.0675644 
-9.70123 -3.09602 0.0949955 
-9.63518 -3.36364 0.124777 
-9.57246 -3.62886 0.156854 
-9.51303 -3.89176 0.191173 
-9.45681 -4.15241 0.227685 
-9.40377 -4.4109 0.266347 
