2 10 
2.02056 9.98268 
2.04106 9.96545 
2.0615 9.94831 
2.08188 9.93126 
2.1022 9.91431 
2.12246 9.89745 
2.14266 9.88068 
2.16281 9.864 
2.18289 9.84741 
2.20292 9.8309 
2.2229 9.81449 
2.24282 9.79816 
2.26268 9.78193 
2.28248 9.76577 
2.30224 9.74971 
2.32193 9.73373 
2.34158 9.71784 
2.36117 9.70203 
2.3807 9.68631 
2.40019 9.67067 
2.41962 9.65511 
2.439 9.63964 
2.45833 9.62425 
2.4776 9.60894 
2.49683 9.59371 
2.516 9.57857 
2.53513 9.5635 
2.55421 9.54852 
2.57323 9.53361 
2.59221 9.51878 
2.61114 9.50404 
2.63002 9.48937 
2.64885 9.47478 
2.66764 9.46027 
2.68637 9.44583 
2.70507 9.43147 
2.72371 9.41719 
2.74231 9.40298 
2.76086 9.38885 
2.77937 9.3748 
2.79783 9.36081 
2.81625 9.34691 
2.83462 9.33307 
2.85295 9.31931 
2.87124 9.30563 
2.88948 9.29201 
2.90768 9.27847 
2.92584 9.265 
2.94395 9.2516 
2.96202 9.23827 
2.98005 9.22501 
2.99804 9.21183 
3.01599 9.19871 
3.0339 9.18566 
3.05176 9.17268 
3.06959 9.15977 
3.08737 9.14693 
3.10512 9.13416 
3.12283 9.12145 
3.1405 9.10882 
3.15813 9.09624 
3.17572 9.08374 
3.19327 9.0713 
3.21078 9.05893 
3.22826 9.04662 
3.2457 9.03438 
3.2631 9.02221 
3.28047 9.01009 
3.2978 8.99805 
3.31509 8.98606 
3.33235 8.97414 
3.34957 8.96229 
3.36676 8.95049 
3.38391 8.93876 
3.40102 8.92709 
3.4181 8.91548 
3.43515 8.90394 
3.45216 8.89245 
3.46914 8.88103 
3.48609 8.86967 
3.503 8.85837 
3.51988 8.84713 
3.53673 8.83594 
3.55354 8.82482 
3.57032 8.81376 
3.58707 8.80275 
3.60379 8.79181 
3.62047 8.78092 
3.63713 8.77009 
3.65375 8.75932 
3.67034 8.74861 
3.68691 8.73795 
3.70344 8.72735 
3.71994 8.71681 
3.73641 8.70632 
3.75285 8.69589 
3.76926 8.68551 
3.78565 8.6752 
3.802 8.66493 
3.81832 8.65472 
3.83462 8.64457 
3.85089 8.63447 
3.86713 8.62442 
3.88334 8.61443 
3.89952 8.60449 
3.91568 8.59461 
3.9318 8.58478 
3.94791 8.575 
3.96398 8.56527 
3.98003 8.5556 
3.99605 8.54598 
4.01204 8.53641 
4.02801 8.52689 
4.04396 8.51743 
4.05987 8.50801 
4.07576 8.49865 
4.09163 8.48933 
4.10747 8.48007 
4.12329 8.47086 
4.13908 8.4617 
4.15485 8.45258 
4.17059 8.44352 
4.18631 8.43451 
4.202 8.42554 
4.21767 8.41663 
4.23332 8.40776 
4.24894 8.39894 
4.26454 8.39017 
4.28012 8.38145 
