1 0.01 0.04 0.09 0.16 0.25 0.36 0.49 0.64 0.81 1 
0.0287812 0.0239274 0.0493879 0.0973259 0.166256 0.255773 0.365758 0.496242 0.647469 0.820417 1.02031 
0.0450573 0.0402872 0.063168 0.109415 0.177376 0.26644 0.376403 0.507311 0.659519 0.834108 1.03393 
0.0644269 0.0597557 0.0811292 0.126099 0.193244 0.281905 0.391836 0.523076 0.675997 0.851511 1.05125 
0.0872995 0.0827446 0.103225 0.147273 0.213767 0.302086 0.411974 0.543456 0.696859 0.872891 1.07252 
0.113936 0.109516 0.129472 0.172879 0.238876 0.326919 0.436757 0.568398 0.722109 0.898412 1.09791 
0.144508 0.140242 0.159908 0.202889 0.268527 0.356356 0.466142 0.597875 0.751762 0.928183 1.12753 
0.179134 0.175042 0.194574 0.237295 0.30269 0.390363 0.500099 0.631875 0.785841 0.962279 1.16146 
0.217895 0.213999 0.233509 0.276098 0.341349 0.42892 0.538613 0.670392 0.824368 1.00075 1.19974 
0.260851 0.25717 0.276745 0.319306 0.384498 0.472017 0.581676 0.71343 0.867363 1.04364 1.24241 
0.308041 0.304596 0.324306 0.366929 0.432139 0.519652 0.629288 0.760997 0.914845 1.09097 1.28951 
0.35949 0.356302 0.376213 0.418979 0.484279 0.57183 0.681456 0.813104 0.966831 1.14277 1.34105 
0.415213 0.412303 0.432479 0.475469 0.540928 0.628563 0.738193 0.869763 1.02334 1.19906 1.39706 
0.475209 0.472599 0.49311 0.536412 0.602104 0.689868 0.799514 0.930992 1.08438 1.25984 1.45753 
0.539466 0.537176 0.55811 0.601824 0.667828 0.755767 0.865443 0.99681 1.14996 1.32512 1.52249 
0.607953 0.606003 0.627475 0.671722 0.738129 0.826293 0.936009 1.06724 1.22011 1.3949 1.59193 
0.680612 0.679023 0.701199 0.746132 0.813042 0.901483 1.01125 1.14231 1.29483 1.46917 1.66583 
0.757351 0.756144 0.779276 0.825091 0.892616 0.981386 1.09121 1.22207 1.37414 1.5479 1.74417 
0.838017 0.837212 0.861717 0.908657 0.976912 1.06606 1.17594 1.30655 1.45807 1.63103 1.82689 
0.922359 0.921973 0.948571 0.996916 1.06601 1.15557 1.26551 1.39583 1.54665 1.71846 1.91389 
0 1.01 1.04 1.09 1.16 1.25 1.36 1.49 1.64 1.81 1 
10 1
20 1
