0 1.01 1.04 1.09 1.16 1.25 1.36 1.49 1.64 1.81 0 
-0.420254 0.417341 0.780745 0.991126 1.14985 1.29364 1.43788 1.58994 1.75375 1.93173 2.12609 
-0.262579 0.258873 0.634512 0.90391 1.11463 1.29683 1.46795 1.63813 1.81334 1.99706 2.1911 
-0.210186 0.206217 0.554522 0.835372 1.06794 1.27108 1.45897 1.64131 1.8244 2.01206 2.20603 
-0.185752 0.18166 0.501985 0.77512 1.01066 1.22059 1.41553 1.60372 1.79092 1.98075 2.17488 
-0.16837 0.164191 0.456638 0.712459 0.939015 1.14507 1.33886 1.52711 1.7148 1.90515 2.09965 
-0.1511 0.146834 0.407916 0.639064 0.847863 1.04183 1.22772 1.41106 1.59603 1.7854 1.98049 
-0.130698 0.126329 0.349129 0.548019 0.731538 0.906681 1.07913 1.25338 1.43285 1.61992 1.81584 
-0.104551 0.100051 0.274253 0.432345 0.583589 0.734223 0.888731 1.05048 1.22208 1.40558 1.60257 
-0.0688507 0.0641716 0.175486 0.28352 0.39625 0.517891 0.651091 0.797743 0.959397 1.13777 1.33609 
2 0.01 0.04 0.09 0.16 0.25 0.36 0.49 0.64 0.81 2 
10 1
10 1
