1 0.04 0.16 0.36 0.64 0 
0.0801012 0.0617032 0.17281 0.371614 0.656728 1.05562 
0.103248 0.0853125 0.190139 0.387834 0.676345 1.07485 
0.128676 0.111249 0.211663 0.408377 0.699088 1.09714 
0.156687 0.139821 0.237169 0.433046 0.725121 1.12267 
0.187505 0.171255 0.266517 0.461703 0.754563 1.15153 
0.221293 0.205719 0.29962 0.494256 0.787498 1.18382 
0.258178 0.243341 0.336426 0.530646 0.823991 1.2196 
0.298254 0.284219 0.376913 0.57084 0.864093 1.25891 
0.341594 0.328426 0.421072 0.614827 0.907846 1.30181 
0.388255 0.37602 0.468913 0.662611 0.955291 1.34832 
0.438278 0.427044 0.520453 0.714208 1.00646 1.39849 
0.491694 0.481528 0.575722 0.769649 1.0614 1.45235 
0.548519 0.53949 0.634757 0.828976 1.12014 1.50994 
0.608758 0.600933 0.697609 0.892245 1.18271 1.57129 
0.672397 0.665845 0.764338 0.959524 1.24915 1.63642 
0.739404 0.734192 0.835024 1.0309 1.31949 1.70538 
0.809717 0.805911 0.909769 1.10648 1.39375 1.77819 
0.883237 0.880902 0.988712 1.18641 1.47193 1.85484 
0.959812 0.959008 1.07204 1.27084 1.55403 1.93533 
2 1.04 1.16 1.36 1.64 1 
5 1
20 1
