1 0.04 0.16 0.36 0.64 1 
0.102231 0.08428 0.189247 0.38694 0.675359 1.07388 
0.15482 0.137925 0.23541 0.431297 0.723289 1.12086 
0.218769 0.203157 0.297158 0.491811 0.785004 1.18136 
0.295312 0.281233 0.373996 0.567945 0.861175 1.25604 
0.385172 0.372891 0.465836 0.659558 0.952231 1.34531 
0.48876 0.47855 0.572797 0.766746 1.05849 1.44949 
0.606249 0.598387 0.695131 0.889785 1.18023 1.56884 
0.73756 0.73232 0.833242 1.02913 1.31768 1.7036 
0.882245 0.879894 0.987796 1.18549 1.47097 1.85389 
0 1.04 1.16 1.36 1.64 1 
5 1
10 1
