1 0.0025 0.01 0.0225 0.04 0.0625 0.09 0.1225 0.16 0.2025 0.25 0.3025 0.36 0.4225 0.49 0.5625 0.64 0.7225 0.81 0.9025 1 
0.0130957 0.0118622 0.0175228 0.0289431 0.0457298 0.0677248 0.0948547 0.127081 0.164383 0.206746 0.254165 0.306634 0.364154 0.426727 0.49436 0.567066 0.64487 0.727821 0.816024 0.90974 1.00973 
0.0255492 0.0243314 0.0292869 0.0400208 0.0562525 0.0778158 0.104614 0.136589 0.173705 0.215939 0.26328 0.315719 0.373255 0.435894 0.503647 0.576535 0.654596 0.737892 0.826535 0.920711 1.02068 
0.0418265 0.0406291 0.045275 0.055603 0.0714457 0.0926742 0.119199 0.150957 0.18791 0.230029 0.277298 0.329708 0.387257 0.44995 0.517801 0.590834 0.669087 0.752619 0.841514 0.935885 1.03584 
0.0622583 0.0610866 0.065584 0.0756738 0.0912563 0.11224 0.138552 0.170136 0.206952 0.248972 0.296179 0.348561 0.406117 0.468851 0.536777 0.609916 0.688303 0.771985 0.861022 0.955479 1.05541 
0.0870193 0.0858785 0.090305 0.100256 0.11567 0.136482 0.162637 0.194086 0.230794 0.272734 0.319888 0.372245 0.429803 0.492565 0.560542 0.633755 0.712229 0.796001 0.885112 0.979603 1.0795 
0.116212 0.115108 0.119506 0.129381 0.14469 0.165388 0.191432 0.222783 0.259409 0.301287 0.348398 0.400734 0.45829 0.521068 0.589079 0.662336 0.740862 0.824683 0.913828 1.00832 1.10819 
0.149902 0.14884 0.153237 0.163076 0.178326 0.198954 0.224926 0.25621 0.292778 0.334611 0.381691 0.434009 0.49156 0.554346 0.622373 0.695655 0.774206 0.858047 0.947198 1.04168 1.1415 
0.188132 0.187118 0.191534 0.201366 0.216591 0.237183 0.263114 0.294358 0.330891 0.372694 0.419752 0.472056 0.529601 0.592388 0.660421 0.73371 0.812267 0.896107 0.985246 1.0797 1.17947 
0.230933 0.229973 0.234422 0.244269 0.259496 0.280079 0.305996 0.337224 0.37374 0.415528 0.462575 0.514869 0.572408 0.63519 0.703219 0.776503 0.855051 0.938875 1.02799 1.1224 1.22212 
0.278325 0.277423 0.281919 0.2918 0.30705 0.327649 0.353575 0.384807 0.421325 0.463112 0.510155 0.562446 0.619979 0.682753 0.750771 0.824039 0.902566 0.986362 1.07544 1.1698 1.26946 
0.33032 0.329483 0.334037 0.343969 0.359263 0.3799 0.405856 0.437112 0.473647 0.515446 0.562496 0.614787 0.672315 0.735078 0.803079 0.876323 0.954819 1.03858 1.1276 1.22191 1.32151 
0.386926 0.38616 0.390783 0.400783 0.416142 0.436837 0.462844 0.494143 0.530713 0.572537 0.619602 0.6719 0.729424 0.792173 0.860151 0.933363 1.01182 1.09552 1.1845 1.27874 1.37827 
0.448143 0.447454 0.45216 0.462246 0.477691 0.498467 0.524549 0.555911 0.592532 0.634394 0.681484 0.733792 0.791313 0.854047 0.921996 0.995168 1.07357 1.15722 1.24612 1.34029 1.43974 
0.513965 0.513358 0.518162 0.528358 0.543914 0.564799 0.590979 0.622426 0.659115 0.701029 0.748153 0.800477 0.857996 0.920711 0.988625 1.06175 1.14009 1.22366 1.31248 1.40657 1.50594 
0.584375 0.583856 0.588779 0.599113 0.614815 0.63584 0.662148 0.693704 0.730481 0.772461 0.819627 0.871972 0.92949 0.992182 1.06005 1.13311 1.21137 1.29486 1.38359 1.47758 1.57686 
0.659343 0.658917 0.663989 0.674506 0.690399 0.711605 0.738073 0.769765 0.80665 0.84871 0.895929 0.948298 1.00582 1.06848 1.1363 1.20928 1.28745 1.37082 1.45943 1.55331 1.65249 
0.73881 0.738484 0.743759 0.754527 0.770674 0.792112 0.81878 0.850636 0.88765 0.929803 0.977083 1.02948 1.087 1.14963 1.21738 1.29027 1.36832 1.45154 1.54 1.63374 1.73282 
0.822674 0.822453 0.82804 0.839172 0.85566 0.877392 0.904302 0.936351 0.973514 1.01577 1.06312 1.11555 1.17306 1.23566 1.30334 1.37611 1.454 1.53704 1.62529 1.71883 1.81781 
0.910726 0.910614 0.916779 0.928464 0.945405 0.967496 0.994688 1.02695 1.06428 1.10666 1.15408 1.20655 1.26405 1.3266 1.39419 1.46684 1.54455 1.62734 1.71528 1.80849 1.90736 
0 1.0025 1.01 1.0225 1.04 1.0625 1.09 1.1225 1.16 1.2025 1.25 1.3025 1.36 1.4225 1.49 1.5625 1.64 1.7225 1.81 1.9025 1 
20 1
20 1
