1 0.01 0.04 0.09 0.16 0.25 0.36 0.49 0.64 0.81 1 
0.0457682 0.0409974 0.0640131 0.11028 0.178239 0.267301 0.377265 0.508172 0.660367 0.834866 1.03469 
0.0887723 0.084217 0.104784 0.148876 0.215385 0.303709 0.413595 0.545066 0.69844 0.874412 1.07404 
0.146596 0.14233 0.162048 0.205072 0.270734 0.358572 0.468356 0.600075 0.753932 0.930317 1.12967 
0.220379 0.216482 0.236029 0.278654 0.34393 0.431513 0.541204 0.672969 0.826921 1.00328 1.20227 
0.310662 0.307217 0.326958 0.369613 0.434848 0.522372 0.632008 0.763704 0.917532 1.09364 1.29217 
0.417704 0.414794 0.435 0.478023 0.543505 0.63115 0.740779 0.872338 1.02589 1.20159 1.39959 
0.541571 0.53928 0.560255 0.604001 0.670026 0.757973 0.867647 0.999004 1.15214 1.32727 1.52464 
0.682113 0.680524 0.70276 0.747725 0.814648 0.903092 1.01286 1.14392 1.29642 1.47072 1.66738 
0.838764 0.837959 0.862555 0.909509 0.977764 1.06691 1.17679 1.3074 1.45891 1.63183 1.82769 
0 1.01 1.04 1.09 1.16 1.25 1.36 1.49 1.64 1.81 1 
10 1
10 1
